Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.7381121362668559,0.504302925989673,0.7834224598930482,0.6136125654450262,0.8412978893797307
Random Forest,0.7849538679914834,0.6219931271477663,0.4839572192513369,0.544360902255639,0.8214330000775014
